customer_id,tenure,monthly_charges,total_charges,contract,payment_method,support_calls,is_senior,churn
10000,48,91.82,4396.11,Month-to-month,eCheck,3,0,1
10001,5,67.44,331.37,Month-to-month,Bank Transfer,2,0,0
10002,26,25.64,645.23,Month-to-month,eCheck,1,0,0
10003,55,23.9,1273.83,Two year,eCheck,1,0,0
10004,4,25.08,94.52,One year,Bank Transfer,0,0,0
10005,20,53.94,1058.18,Month-to-month,Mailed Check,1,0,0
10006,24,112.86,2780.19,One year,Bank Transfer,1,0,0
10007,40,52.88,2133.31,Month-to-month,eCheck,2,0,0
10008,29,101.51,2937.19,Month-to-month,Credit Card,1,0,0
10009,58,84.44,4932.9,One year,eCheck,0,0,0
10010,15,90.29,1382.2,Month-to-month,Credit Card,3,0,1
10011,24,85.58,2115.78,Month-to-month,Mailed Check,2,0,0
10012,9,40.18,329.52,Month-to-month,Mailed Check,0,0,0
10013,26,107.2,2754.2,Two year,Bank Transfer,3,0,0
10014,47,61.82,2871.7,Month-to-month,Mailed Check,2,1,0
10015,43,113.48,4826.01,Month-to-month,Mailed Check,2,0,0
10016,27,21.56,550.4,Two year,Credit Card,1,0,0
10017,9,31.51,246.3,Month-to-month,Bank Transfer,2,0,0
10018,40,33.42,1369.86,Month-to-month,eCheck,0,1,0
10019,39,92.74,3555.38,Month-to-month,Credit Card,0,1,1
10020,5,30.7,119.54,Month-to-month,Credit Card,0,0,0
10021,49,63.16,3076.26,Month-to-month,eCheck,0,0,0
10022,8,71.35,561.09,Month-to-month,Credit Card,3,0,1
10023,45,71.4,3252.89,Two year,Bank Transfer,3,0,0
10024,1,49.47,30.27,Month-to-month,Mailed Check,2,0,0
10025,12,108.18,1283.19,Month-to-month,Bank Transfer,0,0,0
10026,56,65.25,3631.74,Month-to-month,eCheck,0,0,0
10027,59,37.54,2252.82,Month-to-month,Credit Card,2,0,0
10028,7,75.77,538.6,Month-to-month,eCheck,1,0,0
10029,20,31.26,603.32,One year,Mailed Check,0,0,0
10030,45,86.94,3871.95,Month-to-month,Mailed Check,2,1,0
10031,6,37.34,272.72,Month-to-month,Credit Card,1,0,0
10032,57,109.04,6240.43,Two year,Credit Card,0,0,0
10033,25,27.84,769.87,Month-to-month,Mailed Check,0,1,0
10034,56,50.98,2915.45,Month-to-month,Mailed Check,1,0,0
10035,54,41.58,2196.41,Two year,Bank Transfer,3,0,0
10036,49,76.97,3707.73,Two year,Credit Card,0,0,0
10037,1,60.53,138.56,Month-to-month,Credit Card,4,0,1
10038,35,65.23,2307.01,One year,Credit Card,1,1,0
10039,57,64.79,3681.45,Month-to-month,Bank Transfer,2,1,0
10040,10,81.19,795.84,One year,Bank Transfer,3,0,0
10041,15,46.2,625.52,Month-to-month,Mailed Check,0,0,0
10042,39,52.2,2012.41,One year,Bank Transfer,2,0,0
10043,5,45.83,262.28,Month-to-month,Bank Transfer,4,1,1
10044,47,34.49,1570.77,Month-to-month,Mailed Check,0,0,0
10045,10,82.42,787.54,Month-to-month,eCheck,0,0,0
10046,24,113.4,2728.99,Month-to-month,Bank Transfer,1,0,0
10047,36,110.84,4077.52,One year,Mailed Check,1,0,0
10048,4,116.5,514.23,One year,Credit Card,1,0,0
10049,9,31.01,269.91,Month-to-month,Credit Card,4,0,1
10050,20,91.65,1792.03,One year,Credit Card,2,1,0
10051,49,27.46,1364.0,One year,Mailed Check,2,0,0
10052,2,101.53,204.77,Month-to-month,eCheck,3,0,1
10053,1,104.41,109.16,Month-to-month,eCheck,0,0,0
10054,17,67.93,1167.25,Month-to-month,eCheck,0,0,0
10055,55,118.7,6591.26,Month-to-month,Credit Card,0,0,0
10056,32,66.35,2120.33,One year,Bank Transfer,4,0,0
10057,30,74.12,2233.85,Month-to-month,Credit Card,1,1,0
10058,45,53.82,2506.36,One year,Credit Card,3,0,0
10059,29,101.86,2835.25,Month-to-month,Credit Card,2,0,1
10060,8,76.38,621.46,Two year,Bank Transfer,2,0,0
10061,24,70.06,1581.47,Month-to-month,Credit Card,1,0,0
10062,11,62.48,693.06,Month-to-month,Bank Transfer,2,0,0
10063,42,95.33,4013.71,Month-to-month,Credit Card,0,1,0
10064,36,27.22,1010.55,Month-to-month,Mailed Check,1,0,0
10065,1,83.24,50.27,Two year,Mailed Check,1,0,0
10066,8,27.3,301.89,Month-to-month,Mailed Check,4,0,1
10067,24,41.71,939.06,One year,Credit Card,1,0,0
10068,29,23.31,689.85,Month-to-month,Credit Card,1,0,0
10069,56,71.95,3973.34,Month-to-month,eCheck,3,0,0
10070,33,114.35,3806.58,Month-to-month,Mailed Check,0,0,0
10071,22,41.3,914.61,One year,Mailed Check,1,0,0
10072,37,31.29,1178.17,Month-to-month,Mailed Check,2,0,0
10073,36,72.66,2607.94,Month-to-month,Credit Card,0,0,0
10074,34,22.09,788.29,Month-to-month,Credit Card,2,0,0
10075,4,55.07,197.32,Month-to-month,eCheck,3,0,0
10076,28,64.53,1866.63,Month-to-month,Bank Transfer,2,0,0
10077,34,27.75,1013.67,One year,Credit Card,2,0,0
10078,20,108.7,2128.29,Month-to-month,Mailed Check,1,0,0
10079,28,58.39,1624.8,Two year,Credit Card,1,0,0
10080,5,78.72,301.14,Month-to-month,Bank Transfer,1,0,0
10081,20,31.26,512.32,Month-to-month,Mailed Check,0,1,0
10082,34,116.83,3940.83,Month-to-month,Credit Card,1,0,0
10083,31,38.18,1190.69,Month-to-month,eCheck,1,0,0
10084,58,66.62,3914.6,Month-to-month,Mailed Check,1,0,0
10085,38,28.83,1093.57,Month-to-month,Credit Card,1,0,0
10086,10,35.72,348.86,Month-to-month,eCheck,0,0,0
10087,30,33.58,1062.74,Month-to-month,Mailed Check,1,0,0
10088,18,58.56,1104.47,One year,Mailed Check,0,0,0
10089,32,28.78,924.2,Two year,Credit Card,0,0,0
10090,3,66.68,301.98,One year,Mailed Check,1,0,0
10091,20,76.52,1612.06,Month-to-month,eCheck,2,0,0
10092,51,39.08,1909.4,One year,Mailed Check,1,0,0
10093,19,96.77,1857.32,One year,Mailed Check,1,0,0
10094,22,27.61,631.74,Month-to-month,Bank Transfer,0,0,0
10095,56,77.49,4410.48,One year,Credit Card,0,0,0
10096,4,101.0,352.94,One year,Credit Card,1,0,0
10097,12,81.41,983.5,Month-to-month,Bank Transfer,2,0,0
10098,59,20.44,1178.8,Month-to-month,Credit Card,4,0,1
10099,48,27.49,1382.89,Two year,eCheck,0,0,0
10100,17,24.6,371.09,Month-to-month,eCheck,2,0,0
10101,13,32.91,525.17,One year,Credit Card,0,0,0
10102,30,72.62,2124.06,One year,eCheck,1,1,0
10103,44,115.93,5107.41,Month-to-month,Mailed Check,0,0,1
10104,42,56.88,2319.35,Month-to-month,Bank Transfer,0,0,0
10105,10,98.86,978.12,One year,eCheck,1,0,0
10106,13,47.02,608.01,Two year,Credit Card,0,0,0
10107,4,117.27,514.72,Month-to-month,Mailed Check,3,0,1
10108,47,58.27,2762.13,Month-to-month,eCheck,3,0,1
10109,15,39.51,571.43,Two year,Mailed Check,1,0,0
10110,21,39.13,762.43,Month-to-month,Credit Card,0,0,0
10111,54,31.42,1734.64,Month-to-month,Mailed Check,2,0,0
10112,16,28.14,390.21,Month-to-month,Credit Card,2,0,0
10113,36,112.66,4079.09,Month-to-month,eCheck,0,0,0
10114,49,92.32,4505.57,Month-to-month,Bank Transfer,0,0,0
10115,5,34.56,245.78,Month-to-month,Bank Transfer,3,1,1
10116,44,80.21,3511.89,Month-to-month,Bank Transfer,4,0,1
10117,9,66.4,504.84,Two year,eCheck,2,0,0
10118,27,27.21,739.39,One year,eCheck,1,0,0
10119,59,118.78,6937.83,Two year,Mailed Check,1,0,0
10120,55,43.67,2381.95,One year,Credit Card,1,0,0
10121,44,77.33,3554.24,One year,Mailed Check,2,1,0
10122,48,56.04,2711.44,One year,eCheck,1,0,0
10123,24,68.76,1610.43,Month-to-month,Credit Card,4,0,0
10124,14,119.08,1706.38,Month-to-month,Mailed Check,2,1,1
10125,51,96.53,4980.72,Month-to-month,eCheck,1,0,1
10126,40,43.84,1742.8,Month-to-month,Mailed Check,0,0,0
10127,4,90.39,400.42,Month-to-month,Bank Transfer,4,0,1
10128,30,66.45,1920.59,Month-to-month,eCheck,1,0,0
10129,13,43.83,532.62,Month-to-month,Credit Card,1,0,0
10130,13,75.83,976.17,Month-to-month,Credit Card,0,0,0
10131,16,43.37,701.73,One year,Credit Card,2,0,0
10132,30,101.19,2906.28,One year,Bank Transfer,0,0,0
10133,9,49.44,502.52,Month-to-month,Credit Card,2,0,0
10134,55,29.86,1706.4,Month-to-month,Bank Transfer,0,1,0
10135,39,106.29,4132.93,One year,eCheck,0,0,0
10136,54,36.93,2018.89,Two year,eCheck,2,0,0
10137,7,90.83,657.66,Month-to-month,Credit Card,1,0,1
10138,22,106.87,2274.66,Month-to-month,eCheck,0,1,1
10139,45,92.7,4082.48,Month-to-month,Credit Card,1,0,1
10140,28,114.98,3330.94,One year,Bank Transfer,2,0,0
10141,8,47.06,464.64,Month-to-month,Mailed Check,1,0,0
10142,18,57.3,1075.54,Two year,Mailed Check,2,0,0
10143,43,83.54,3623.64,One year,Credit Card,0,0,0
10144,48,31.75,1455.65,Month-to-month,Credit Card,0,1,0
10145,6,118.83,668.17,Month-to-month,Credit Card,2,0,0
10146,37,86.0,3167.22,Two year,eCheck,0,0,0
10147,53,87.97,4591.87,Month-to-month,eCheck,0,0,0
10148,42,78.37,3314.18,One year,Mailed Check,3,0,0
10149,42,70.49,2909.41,Month-to-month,Bank Transfer,3,0,1
10150,30,39.45,1197.56,Two year,eCheck,2,0,0
10151,27,30.55,790.31,Month-to-month,eCheck,3,0,0
10152,1,45.44,62.93,Month-to-month,Credit Card,0,0,0
10153,23,22.83,580.24,Month-to-month,Credit Card,0,0,0
10154,35,82.35,2878.35,Month-to-month,Bank Transfer,3,0,1
10155,13,38.07,507.63,Month-to-month,Bank Transfer,1,0,0
10156,7,112.11,713.4,Two year,Mailed Check,1,0,0
10157,41,30.94,1253.71,Month-to-month,eCheck,1,0,0
10158,35,52.01,1734.02,One year,Bank Transfer,0,0,0
10159,43,105.92,4647.74,Month-to-month,Credit Card,2,0,0
10160,47,82.15,3863.62,One year,Bank Transfer,0,0,0
10161,53,61.4,3269.79,One year,Mailed Check,3,0,0
10162,50,93.15,4700.42,Month-to-month,Mailed Check,3,0,1
10163,30,60.08,1825.12,Month-to-month,Mailed Check,1,1,0
10164,39,35.66,1411.66,Month-to-month,Credit Card,2,0,0
10165,43,117.97,5077.31,Month-to-month,Bank Transfer,3,1,1
10166,18,107.23,1952.04,Month-to-month,Credit Card,2,0,0
10167,6,93.79,592.71,One year,eCheck,0,0,0
10168,16,48.07,716.06,Month-to-month,Mailed Check,2,0,0
10169,50,70.71,3605.74,One year,Credit Card,1,0,0
10170,55,28.78,1585.53,Month-to-month,Mailed Check,3,0,0
10171,13,23.82,286.0,Two year,Bank Transfer,0,0,0
10172,42,114.6,4851.68,Month-to-month,eCheck,2,0,0
10173,41,61.8,2553.12,Month-to-month,eCheck,2,0,0
10174,29,41.85,1148.16,Month-to-month,Bank Transfer,2,0,0
10175,55,98.89,5540.99,One year,Mailed Check,2,0,0
10176,48,72.6,3477.91,One year,Mailed Check,1,0,0
10177,38,86.15,3230.43,One year,Credit Card,3,0,0
10178,10,30.83,311.63,Month-to-month,Bank Transfer,1,0,0
10179,24,64.56,1570.53,One year,eCheck,0,0,0
10180,22,60.82,1297.91,Month-to-month,Bank Transfer,1,0,0
10181,5,49.43,203.18,One year,Bank Transfer,0,0,0
10182,28,37.83,1111.23,Month-to-month,Credit Card,5,0,0
10183,13,107.36,1365.55,Two year,eCheck,3,0,0
10184,42,94.24,3935.64,One year,Credit Card,1,0,0
10185,12,76.36,938.98,One year,Credit Card,1,0,0
10186,7,47.3,461.29,Month-to-month,Mailed Check,1,0,0
10187,57,83.42,4928.2,Two year,eCheck,0,0,0
10188,34,61.09,2133.62,One year,Mailed Check,0,0,0
10189,22,20.21,478.9,Month-to-month,Mailed Check,0,0,0
10190,22,82.25,1835.82,One year,eCheck,1,0,0
10191,31,86.59,2578.24,Month-to-month,Credit Card,1,1,1
10192,44,116.24,5085.99,Month-to-month,Mailed Check,0,0,0
10193,29,102.61,3038.66,Month-to-month,eCheck,0,0,1
10194,57,27.88,1491.96,One year,Credit Card,3,0,0
10195,52,51.66,2723.66,One year,Credit Card,1,0,0
10196,56,24.38,1370.9,Month-to-month,Mailed Check,0,0,0
10197,56,26.81,1588.36,Month-to-month,Credit Card,3,0,0
10198,58,66.51,3797.34,One year,Credit Card,2,0,0
10199,13,40.89,562.63,Month-to-month,Credit Card,0,0,0
10200,13,26.08,337.68,Two year,eCheck,3,0,0
10201,46,82.72,3835.58,Two year,Mailed Check,0,0,0
10202,37,112.15,4124.46,Two year,Bank Transfer,3,0,0
10203,8,102.52,833.12,One year,Mailed Check,1,0,0
10204,22,25.35,584.93,Month-to-month,Mailed Check,2,0,0
10205,59,49.77,2922.54,Month-to-month,Mailed Check,2,0,0
10206,42,23.78,969.0,Month-to-month,Mailed Check,1,0,0
10207,39,62.06,2366.59,One year,Mailed Check,2,0,0
10208,16,113.57,1866.2,Month-to-month,Bank Transfer,1,1,0
10209,44,39.27,1744.6,Month-to-month,eCheck,1,1,0
10210,19,93.06,1812.88,Month-to-month,eCheck,4,0,1
10211,29,69.57,2021.26,Month-to-month,eCheck,2,0,0
10212,17,71.97,1239.76,Month-to-month,Bank Transfer,1,0,0
10213,6,103.31,627.58,Month-to-month,Credit Card,1,0,0
10214,36,51.11,1861.45,Month-to-month,eCheck,1,0,0
10215,14,52.5,658.56,Month-to-month,Mailed Check,2,0,0
10216,33,93.8,3043.67,Two year,Bank Transfer,3,0,0
10217,54,34.04,1825.54,Month-to-month,Credit Card,3,0,0
10218,24,30.71,708.89,Month-to-month,eCheck,0,0,0
10219,32,61.02,1973.06,Month-to-month,Credit Card,0,0,0
10220,34,59.39,1960.6,Month-to-month,Mailed Check,1,0,0
10221,46,50.24,2381.54,Two year,Bank Transfer,0,0,0
10222,41,45.38,1797.76,One year,eCheck,2,0,0
10223,53,108.04,5683.05,Month-to-month,Credit Card,2,0,0
10224,28,60.97,1676.15,One year,Credit Card,1,1,0
10225,15,50.89,784.09,Month-to-month,eCheck,0,0,0
10226,46,98.69,4517.23,Month-to-month,Credit Card,0,0,0
10227,42,104.59,4395.31,Month-to-month,Mailed Check,0,0,0
10228,43,90.1,3951.01,One year,eCheck,1,0,0
10229,33,116.43,3831.46,Two year,Bank Transfer,0,0,0
10230,35,32.29,1094.67,One year,Mailed Check,1,0,0
10231,32,64.77,2058.12,Month-to-month,Mailed Check,1,0,0
10232,49,101.11,4973.21,Month-to-month,eCheck,2,0,0
10233,56,117.42,6577.69,Month-to-month,eCheck,0,0,0
10234,39,39.81,1539.15,Month-to-month,Credit Card,2,0,0
10235,19,94.37,1882.22,Month-to-month,Bank Transfer,3,1,1
10236,10,41.14,323.3,Month-to-month,Bank Transfer,1,0,0
10237,10,59.76,648.89,Month-to-month,Bank Transfer,0,0,0
10238,14,95.11,1390.19,Month-to-month,Mailed Check,2,0,0
10239,22,97.02,2115.2,One year,Bank Transfer,1,0,0
10240,44,25.74,1137.27,Month-to-month,eCheck,1,1,0
10241,2,45.55,142.53,Month-to-month,Bank Transfer,2,0,0
10242,32,116.31,3756.08,Two year,Mailed Check,1,0,0
10243,15,76.88,1178.75,One year,Mailed Check,1,0,0
10244,17,77.83,1359.41,One year,Credit Card,2,0,0
10245,49,45.55,2241.37,Month-to-month,Credit Card,4,0,1
10246,26,65.08,1743.47,Month-to-month,Mailed Check,2,0,0
10247,50,47.12,2472.27,Month-to-month,Mailed Check,1,0,0
10248,47,33.75,1622.92,Month-to-month,eCheck,2,0,0
10249,34,48.49,1720.58,One year,eCheck,1,0,0
10250,22,75.75,1675.88,One year,Mailed Check,1,0,0
10251,20,72.36,1459.94,Month-to-month,Mailed Check,3,0,1
10252,19,72.45,1469.18,One year,Credit Card,1,0,0
10253,1,54.4,71.44,One year,Credit Card,2,0,0
10254,14,63.6,881.48,Month-to-month,eCheck,0,0,0
10255,59,107.37,6381.57,Month-to-month,eCheck,0,0,0
10256,11,112.0,1279.97,Month-to-month,Mailed Check,2,0,0
10257,53,109.74,5793.02,Month-to-month,eCheck,2,0,0
10258,59,43.51,2569.45,One year,Bank Transfer,3,0,0
10259,28,83.48,2292.38,Month-to-month,Credit Card,1,0,0
10260,29,96.77,2809.53,Month-to-month,Mailed Check,3,0,1
10261,9,52.76,468.2,Month-to-month,Bank Transfer,1,0,0
10262,56,67.71,3842.15,Month-to-month,Mailed Check,0,0,0
10263,34,105.63,3573.18,Two year,Mailed Check,1,0,0
10264,37,90.32,3282.26,One year,Mailed Check,1,0,0
10265,26,92.62,2441.22,Month-to-month,Credit Card,2,0,0
10266,45,27.98,1265.71,One year,eCheck,2,0,0
10267,52,25.28,1283.74,Month-to-month,Bank Transfer,2,0,0
10268,55,88.94,4934.25,One year,Credit Card,0,0,0
10269,43,77.27,3305.39,One year,Mailed Check,2,0,0
10270,29,37.1,1081.42,One year,eCheck,1,1,0
10271,8,20.44,199.37,One year,Credit Card,1,0,0
10272,50,43.54,2128.1,One year,Credit Card,0,0,0
10273,16,82.29,1331.44,Month-to-month,Credit Card,1,0,0
10274,1,56.24,109.01,Month-to-month,Bank Transfer,2,0,0
10275,19,85.04,1587.78,Month-to-month,Bank Transfer,1,0,1
10276,40,35.31,1313.09,Month-to-month,Mailed Check,3,0,1
10277,45,84.85,3816.89,One year,Credit Card,1,0,0
10278,49,31.17,1542.13,Month-to-month,eCheck,1,0,0
10279,1,109.57,275.72,One year,Mailed Check,0,0,0
10280,45,45.62,1947.24,Two year,Credit Card,0,0,0
10281,10,20.46,95.65,Month-to-month,Mailed Check,1,0,0
10282,47,100.1,4737.4,Month-to-month,Bank Transfer,0,0,0
10283,57,52.08,2972.78,Month-to-month,Mailed Check,2,0,0
10284,35,60.92,2137.68,Two year,Credit Card,2,0,0
10285,49,34.44,1740.14,Month-to-month,eCheck,0,1,0
10286,44,40.33,1730.7,One year,Credit Card,1,0,0
10287,6,59.89,375.66,Month-to-month,eCheck,2,0,0
10288,22,49.13,1083.86,Month-to-month,Credit Card,1,1,0
10289,17,70.54,1251.83,Month-to-month,Bank Transfer,0,0,0
10290,42,46.71,1996.44,Month-to-month,Bank Transfer,1,0,0
10291,12,63.71,733.77,One year,Bank Transfer,2,1,0
10292,43,22.91,1023.41,One year,Bank Transfer,2,0,0
10293,33,70.33,2294.63,Month-to-month,Bank Transfer,0,0,0
10294,41,80.09,3206.45,Month-to-month,Credit Card,0,0,0
10295,37,109.84,4116.84,Month-to-month,eCheck,0,0,0
10296,6,91.56,493.69,One year,Bank Transfer,0,0,0
10297,29,27.87,762.78,Month-to-month,Mailed Check,0,1,0
10298,44,56.47,2462.19,Month-to-month,Bank Transfer,2,0,0
10299,30,95.92,2847.22,Month-to-month,Bank Transfer,2,0,0
10300,50,91.82,4524.84,Month-to-month,eCheck,1,0,0
10301,47,25.35,1147.74,Month-to-month,Credit Card,1,0,0
10302,43,22.82,891.64,One year,Bank Transfer,2,0,0
10303,53,69.58,3645.31,Two year,Credit Card,2,0,0
10304,49,64.75,3180.67,One year,eCheck,2,0,0
10305,32,33.73,1142.74,Two year,Mailed Check,0,0,0
10306,8,46.48,382.0,Month-to-month,Mailed Check,4,0,1
10307,29,54.95,1530.44,Month-to-month,Credit Card,0,0,0
10308,48,98.72,4781.57,Month-to-month,Bank Transfer,1,0,0
10309,59,45.94,2663.81,One year,Mailed Check,0,0,0
10310,51,100.57,5162.13,One year,Mailed Check,0,0,0
10311,49,104.02,5093.2,Month-to-month,Mailed Check,1,0,0
10312,15,44.68,623.1,Month-to-month,Bank Transfer,1,0,0
10313,48,105.28,5091.29,Month-to-month,eCheck,1,0,0
10314,14,28.08,396.52,Month-to-month,Credit Card,2,0,0
10315,20,58.25,1133.11,Month-to-month,Bank Transfer,0,0,0
10316,42,29.95,1253.52,Month-to-month,Credit Card,2,0,0
10317,14,52.32,776.24,Month-to-month,Bank Transfer,2,0,0
10318,25,48.32,1201.37,Month-to-month,Credit Card,1,0,0
10319,4,96.13,384.63,Month-to-month,Mailed Check,2,0,0
10320,8,103.23,846.99,Month-to-month,Bank Transfer,2,1,1
10321,50,53.39,2649.3,Month-to-month,Mailed Check,2,0,0
10322,43,53.92,2286.32,One year,Bank Transfer,2,0,0
10323,33,116.47,3787.32,Two year,Credit Card,0,1,0
10324,34,36.24,1177.4,Month-to-month,Mailed Check,1,0,0
10325,12,67.31,848.28,Month-to-month,Credit Card,2,1,0
10326,28,79.19,2207.13,Two year,Mailed Check,2,0,0
10327,5,85.79,467.95,Two year,Credit Card,1,1,0
10328,39,35.35,1344.43,One year,Credit Card,0,0,0
10329,32,51.71,1627.29,Month-to-month,Credit Card,0,0,0
10330,50,34.83,1712.47,Month-to-month,Bank Transfer,0,0,0
10331,31,95.69,3014.69,Month-to-month,Mailed Check,3,0,1
10332,15,92.76,1383.01,Month-to-month,Credit Card,1,0,0
10333,45,102.18,4613.74,One year,Bank Transfer,3,0,0
10334,44,62.94,2701.44,Month-to-month,Mailed Check,1,0,0
10335,13,21.89,307.83,Month-to-month,Credit Card,0,0,0
10336,17,109.96,1913.07,One year,Mailed Check,0,0,0
10337,50,30.56,1525.62,Month-to-month,Mailed Check,2,0,0
10338,59,42.42,2512.0,Month-to-month,Bank Transfer,0,0,0
10339,27,23.08,584.24,Month-to-month,eCheck,1,0,0
10340,33,59.54,1962.44,Month-to-month,eCheck,1,0,0
10341,44,89.43,3924.11,One year,Credit Card,3,1,0
10342,34,112.89,3791.61,Month-to-month,Bank Transfer,0,0,0
10343,9,74.82,759.41,Month-to-month,Mailed Check,2,0,0
10344,53,28.73,1498.68,Two year,Bank Transfer,2,0,0
10345,31,108.42,3440.11,One year,Bank Transfer,0,0,0
10346,34,29.85,909.38,Month-to-month,Bank Transfer,1,0,0
10347,16,40.39,695.9,Month-to-month,Bank Transfer,0,0,0
10348,23,42.01,835.55,Month-to-month,Credit Card,3,0,0
10349,57,108.61,6165.87,Two year,Credit Card,0,0,0
10350,54,60.97,3263.02,Month-to-month,Bank Transfer,0,0,0
10351,35,104.34,3631.07,One year,eCheck,0,0,0
10352,13,75.67,934.63,Two year,eCheck,1,0,0
10353,5,67.79,368.51,Two year,eCheck,0,0,0
10354,45,98.7,4356.16,One year,Mailed Check,1,0,0
10355,56,41.09,2380.86,Month-to-month,eCheck,2,1,0
10356,21,47.16,1013.45,One year,eCheck,2,1,0
10357,44,111.14,4973.28,Month-to-month,Credit Card,5,0,1
10358,50,80.38,4112.44,One year,Credit Card,1,0,0
10359,19,58.08,1142.53,One year,Bank Transfer,3,0,0
10360,57,82.92,4750.56,Month-to-month,Credit Card,0,0,0
10361,22,94.93,2058.0,Month-to-month,Credit Card,2,0,0
